--- Log Iniciado em 2026-02-09 09:41:57.200205 ---
Instance: TSP_50_cities, Run: 1/1
pool NEW BEST: 2819.1525865793205 - Time: 0.04s - 0
pool NEW BEST: 2552.348104728604 - Time: 0.07s - 1
pool NEW BEST: 2426.488973207201 - Time: 0.11s - 2
pool NEW BEST: 2323.42634550393 - Time: 0.36s - 9
pool NEW BEST: 2199.744796721585 - Time: 0.56s - 19
SA 0 NEW BEST: 970.1127984693247 - Time: 3.57s - 20
SA 0 NEW BEST: 957.338694365212 - Time: 3.58s - 20
SA 0 NEW BEST: 949.9092925169542 - Time: 3.6s - 20
SA 0 NEW BEST: 938.9322717787863 - Time: 3.62s - 20
SA 0 NEW BEST: 936.9450932828988 - Time: 3.63s - 20
SA 0 NEW BEST: 932.6319961292863 - Time: 3.64s - 20
SA 0 NEW BEST: 907.0515289261525 - Time: 3.65s - 20
SA 0 NEW BEST: 903.4551941979197 - Time: 3.65s - 20
SA 0 NEW BEST: 902.7008274827875 - Time: 3.66s - 20
SA 0 NEW BEST: 898.9095354771881 - Time: 3.67s - 20
SA 0 NEW BEST: 898.909535477188 - Time: 3.69s - 20
SA 0 NEW BEST: 896.1828892243808 - Time: 3.69s - 20
SA 0 NEW BEST: 890.918250279585 - Time: 3.71s - 20
SA 0 NEW BEST: 886.5453400984594 - Time: 3.79s - 20
SA 0 NEW BEST: 877.2264942084881 - Time: 3.8s - 20
SA 0 NEW BEST: 875.5236608309816 - Time: 3.8s - 20
SA 0 NEW BEST: 873.4828160127282 - Time: 3.81s - 20
SA 0 NEW BEST: 865.2280294248669 - Time: 3.82s - 20
SA 0 NEW BEST: 858.082557566451 - Time: 3.86s - 20
SA 0 NEW BEST: 858.0141567496879 - Time: 3.87s - 20
SA 0 NEW BEST: 854.8163816890924 - Time: 3.88s - 20
SA 0 NEW BEST: 845.7646940555577 - Time: 3.89s - 20
SA 0 NEW BEST: 845.6049332003765 - Time: 3.91s - 20
SA 0 NEW BEST: 840.8411720343026 - Time: 3.91s - 20
SA 0 NEW BEST: 839.6242448549199 - Time: 3.93s - 20
SA 0 NEW BEST: 837.0820954156807 - Time: 3.94s - 20
SA 0 NEW BEST: 835.4133014541771 - Time: 3.95s - 20
SA 0 NEW BEST: 834.7335760016919 - Time: 3.96s - 20
SA 0 NEW BEST: 827.9654780553965 - Time: 3.97s - 20
SA 0 NEW BEST: 808.1767383977033 - Time: 3.97s - 20
SA 0 NEW BEST: 798.6842794941202 - Time: 3.98s - 20
SA 0 NEW BEST: 798.0045540416351 - Time: 3.99s - 20
SA 0 NEW BEST: 796.4028723164791 - Time: 4.01s - 20
SA 0 NEW BEST: 788.9449322013077 - Time: 4.05s - 20
SA 0 NEW BEST: 772.0166606805019 - Time: 4.06s - 20
SA 0 NEW BEST: 768.4818336120976 - Time: 4.08s - 20
SA 0 NEW BEST: 764.5683195724048 - Time: 4.09s - 20
SA 0 NEW BEST: 762.6324441527247 - Time: 4.13s - 20
SA 0 NEW BEST: 762.6324441527246 - Time: 4.14s - 20
SA 0 NEW BEST: 760.9927783177438 - Time: 4.15s - 20
SA 0 NEW BEST: 760.3470633571378 - Time: 4.16s - 20
SA 0 NEW BEST: 759.6673379046525 - Time: 4.18s - 20
SA 0 NEW BEST: 759.588681691748 - Time: 4.19s - 20
SA 0 NEW BEST: 755.344425500989 - Time: 4.34s - 20
SA 0 NEW BEST: 753.4187789068691 - Time: 4.38s - 20
SA 0 NEW BEST: 752.7390534543839 - Time: 4.39s - 20
