--- Log Iniciado em 2026-02-09 11:01:11.107868 ---
Instance: TSP_50_cities, Run: 1/1
pool NEW BEST: 2692.312609904272 - Time: 0.02s - 0
pool NEW BEST: 2679.7786886443764 - Time: 0.08s - 3
pool NEW BEST: 2569.5553420705314 - Time: 0.15s - 8
pool NEW BEST: 2528.142145237687 - Time: 0.17s - 9
pool NEW BEST: 2506.0717122674996 - Time: 0.21s - 11
pool NEW BEST: 2411.0712395276496 - Time: 0.32s - 19
SA 0 NEW BEST: 977.6679139439791 - Time: 3.2s - 20
SA 0 NEW BEST: 973.3517281553537 - Time: 3.25s - 20
SA 0 NEW BEST: 967.9635485920755 - Time: 3.32s - 20
SA 0 NEW BEST: 950.9076750685432 - Time: 3.38s - 20
SA 0 NEW BEST: 949.0384052646467 - Time: 3.39s - 20
SA 0 NEW BEST: 944.436472314245 - Time: 3.41s - 20
SA 0 NEW BEST: 944.4364723142447 - Time: 3.43s - 20
SA 0 NEW BEST: 940.9073401426741 - Time: 3.44s - 20
SA 0 NEW BEST: 935.5696664021829 - Time: 3.53s - 20
SA 0 NEW BEST: 934.1492110106738 - Time: 3.54s - 20
SA 0 NEW BEST: 928.5144514008967 - Time: 3.57s - 20
SA 0 NEW BEST: 927.0377505890946 - Time: 3.64s - 20
SA 0 NEW BEST: 922.0993510418059 - Time: 3.79s - 20
SA 0 NEW BEST: 922.0993510418058 - Time: 3.8s - 20
SA 0 NEW BEST: 901.5125497587355 - Time: 3.81s - 20
SA 0 NEW BEST: 886.260050409929 - Time: 3.83s - 20
SA 0 NEW BEST: 865.9971797993527 - Time: 3.85s - 20
SA 0 NEW BEST: 865.9971797993526 - Time: 3.86s - 20
SA 0 NEW BEST: 865.9166301206799 - Time: 3.86s - 20
SA 0 NEW BEST: 856.9183032669614 - Time: 3.87s - 20
SA 0 NEW BEST: 856.9183032669613 - Time: 3.88s - 20
SA 0 NEW BEST: 856.8337843041165 - Time: 3.91s - 20
SA 0 NEW BEST: 856.8337843041164 - Time: 3.93s - 20
SA 0 NEW BEST: 854.0009813585351 - Time: 3.97s - 20
SA 0 NEW BEST: 854.000981358535 - Time: 3.99s - 20
SA 0 NEW BEST: 853.7608499013759 - Time: 4.03s - 20
SA 0 NEW BEST: 853.0822465995602 - Time: 4.11s - 20
SA 0 NEW BEST: 847.6588549036278 - Time: 4.15s - 20
SA 0 NEW BEST: 843.9280018598387 - Time: 4.16s - 20
SA 0 NEW BEST: 843.2379916961354 - Time: 4.16s - 20
SA 0 NEW BEST: 839.3984614657908 - Time: 4.19s - 20
SA 0 NEW BEST: 826.5003727827157 - Time: 4.21s - 20
SA 0 NEW BEST: 824.5900386323076 - Time: 4.24s - 20
SA 0 NEW BEST: 824.5206400249075 - Time: 4.25s - 20
SA 0 NEW BEST: 823.5162269662169 - Time: 4.27s - 20
SA 0 NEW BEST: 822.6087226326606 - Time: 4.28s - 20
SA 0 NEW BEST: 822.1515321412004 - Time: 4.29s - 20
SA 0 NEW BEST: 821.5305884193748 - Time: 4.3s - 20
VNS 1 NEW BEST: 803.6843139026478 - Time: 4.34s - 20
VNS 1 NEW BEST: 781.5825411752307 - Time: 4.47s - 20
VNS 1 NEW BEST: 744.5070787818504 - Time: 4.63s - 20
VNS 1 NEW BEST: 727.823508853964 - Time: 4.93s - 20
VNS 1 NEW BEST: 725.5711302478617 - Time: 5.13s - 20
SA 0 NEW BEST: 725.0758860631682 - Time: 5.57s - 20
SA 0 NEW BEST: 721.5947018134358 - Time: 5.58s - 20
SA 0 NEW BEST: 721.2299978174822 - Time: 5.66s - 20
SA 0 NEW BEST: 720.4536503262252 - Time: 5.7s - 20
SA 0 NEW BEST: 715.3901414715253 - Time: 5.9s - 20
SA 0 NEW BEST: 715.1443197995994 - Time: 5.97s - 20
SA 0 NEW BEST: 711.7310214195913 - Time: 6.0s - 20
SA 0 NEW BEST: 698.9349457247457 - Time: 6.12s - 20
VNS 1 NEW BEST: 694.9955046738205 - Time: 6.16s - 20
SA 0 NEW BEST: 688.9352911854302 - Time: 6.2s - 20
SA 0 NEW BEST: 688.9352911854301 - Time: 6.21s - 20
VNS 1 NEW BEST: 663.5192590873764 - Time: 6.23s - 20
VNS 1 NEW BEST: 658.1979080426001 - Time: 6.28s - 20
VNS 1 NEW BEST: 657.4933785814233 - Time: 6.53s - 20
VNS 1 NEW BEST: 640.6801569655856 - Time: 7.17s - 20
VNS 1 NEW BEST: 622.009472288624 - Time: 7.23s - 20
VNS 1 NEW BEST: 617.0765905298055 - Time: 7.41s - 20
VNS 1 NEW BEST: 615.3150708780595 - Time: 13.25s - 20
VNS 1 NEW BEST: 613.4397041641289 - Time: 13.32s - 20
Process 18868 timed out and will be terminated.
10, TSP_50_cities, 613.44, [np.float64(613.44)], 13.32, [13.32]
